What are the differences between psycho-social and sociology?;While social psychology studies the individual as an actor, the subject of action, sociology focuses more on the structure and functioning of large groups or institutions.
What are the differences between social psychology and general psychology?;General psychology and social psychology are both interested in the individual. However, the former has a more individual approach and the latter a more social one. General psychology pays specific attention to the internal functioning of the individual, while social psychology focuses more on how people influence and perceive themselves and their actions in relation to the social environment.
What are the differences between LOC and causal attribution?;"First of all the LOC (Locus of Control) corresponds to a general anticipation, an a priori expectation. While an Attribution is an explanation, a judgment made a posteriori on a very specific event. Moreover, the concept of LOC concerns reinforcements (""the law of effect"": reproduction of behaviour if positive reinforcements) whereas the concept of attribution refers more to people's behaviour or emotional states."
What could I do when my girlfriend left me after 10 years of living together?;Ten years of living together can only make a difference, regardless of your age. But in a couple, each one evolves, sometimes together and sometimes the opposite. Your friend seems to have taken a direction of freedom. Time will be your ally if she has to come back and wishes to relive a story with you. But maybe not. So try to open yourself up to something else (different activities) and to other people. And you will see things differently. Sincerely.
What could I do when my girlfriend left me after 10 years of living together?;your wife has made it clear from what you say she no longer loves you there is nothing left for you to do but to accept and grieve and leave her without living outside of you without trying to continue to maintain a morbid link.
How to regain an interest in life?;Don't be left alone to mope. As you have been advised, talk about your difficulties and sufferings to your parents, and to your main teacher, if possible before the end of the week to have, before the vacations, an idea of a search for a solution. What would you like to do later? Do you have an idea for a job or studies that attracts you? Is the scientific orientation right for you? Would help during the vacations be able to put you back on your feet and re-motivate you?
How to regain an interest in life?;Find a sport activity for example that suits you. Discover artistic activities and/or go to the cinema, the theater, shows, conferences. It will also allow you to make new friends who will not depend on your school environment. Take care of yourself, be attentive to your lifestyle, your diet, this is essential to cope with life's difficulties and stressful situations. With my encouragement.
My dream is premonitory?;Your dream speaks of your desire. Now that it is clear to you, either you make it happen in reality ... or you continue to dream. Predicting the future is not the job of a psychologist.
Is my dream premonitory?;Nothing can be premonitory, the dream is a safety valve for our body.
Why can't I forget my perverted narcissistic ex-boyfriend?;To begin with, I think that a statement in the gendarmerie should be made for assault and battery in order to protect you but also to protect others. Secondly, I think that this relationship must have provoked a certain amount of physical and psychological fear. In my case, I strongly advise you to consult a psychologist who will tell you how to manage your fears and the fears that are ingrained in you. You can also do hypnosis sessions to let go of all this but before doing so, you should think about consulting a psychologist in order to manage all this.
Why can't I forget my perverted narcissistic ex-boyfriend?;In a relationship between two people and when there is a pervert it is always very important to find out why your relationship is in balance. Indeed as of the first unacceptable behaviors for you, you should have left and you remained to support even more, thus that has a direction for you even if you feel victim, even if you are in a form of masochism, this man came to bring you something in the relation. it is by understanding that that you will be able to leave it and not reproduce again elsewhere.
Why can't I forget my perverted narcissistic ex-boyfriend?;It's quite normal that you don't forget as quickly as that a relationship that must have been traumatic. It seduces you, gets you a job, and then puts you through extreme violence. I hope you have thought about reporting it on the dating site, so that it doesn't continue to be abusive. You now have to rebuild yourself, you have a lot of psychic work to do. You were certainly very afraid when he mistreated you, afraid of dying perhaps when he blocked your breathing! I strongly encourage you to contact either a victim support service at a court or a psychotherapist to get out of the nightmare he made you live with your passive complicity. Do not remain alone with these memories!
